# ============================================================
# EXCEPTION VOLONTAIRE A LA REGLE regles-emojis-ascii.md
# ------------------------------------------------------------
# Ce fichier CONTIENT volontairement des emojis : c'est le
# dictionnaire de correspondance emoji -> ASCII utilise par
# corriger-emojis.sh. Il ne peut pas etre converti en ASCII
# pur, sinon l'outil perdrait sa fonction.
#
# NE PAS purger ce fichier. Les lignes # sont ignorees par
# l'outil. Exception documentee dans regles-emojis-ascii.md.
# ============================================================
# Dictionnaire Emoji -> ASCII
# Format: EMOJI|REMPLACEMENT
⏳|[attente]
💕|[DEUX_COEURS]
💞|[COEURS_TOURNOYANTS]
💓|[COEUR_BATTANT]
💗|[COEUR_CROISSANT]
💖|[COEUR_BRILLANT]
💘|[COEUR_FLECHE]
💝|[COEUR_CADEAU]
💟|[COEUR_DECORATION]
☮️|[PAIX]
✝️|[CHRÉTIEN]
☪️|[MUSULMAN]
🕉️|[HINDOU]
☸️|[BOUDDHISTE]
✡️|[JUIF]
🔯|[ETOILE_David]
☯️|[TAO]
☦️|[ORTHODOXE]
🛐|[LIEU_CULTE]
⛎|[OPHIUCHUS]
♈|[BELIER]
♉|[TAUREAU]
♊|[GEMEAUX]
♋|[CANCER]
♌|[LION]
♍|[VIERGE]
♎|[BALANCE]
♏|[SCORPION]
♐|[SAGITTAIRE]
♑|[CAPRICORNE]
♒|[VERSEAU]
♓|[POISSONS]
🆔|[ID]
⚛️|[ATOM]
🉑|[ACCEPTABLE]
☢️|[RADIOACTIF]
☣️|[BIOHAZARD]
📴|[PORTABLE_HORS]
📳|[VIBRATION]
🈶|[DE_CHARGE]
🈚|[GRATUIT]
🈸|[APPLIQUER]
🈴|[NOTE_MOYENNE]
🈳|[VACANT]
㊗️|[FELICITATIONS]
㊙️|[SECRET]
🈺|[OUVERT]
🈵|[PLEIN]
🔴|[ROND_ROUGE]
🟠|[ROND_ORANGE]
🟡|[ROND_JAUNE]
🟢|[ROND_VERT]
🔵|[ROND_BLEU]
🟣|[ROND_VIOLET]
🟤|[ROND_MARRON]
⚫|[ROND_NOIR]
⚪|[ROND_BLANC]
🟥|[CARRE_ROUGE]
🟧|[CARRE_ORANGE]
🟨|[CARRE_JAUNE]
🟩|[CARRE_VERT]
🟦|[CARRE_BLEU]
🟪|[CARRE_VIOLET]
🟫|[CARRE_MARRON]
⬛|[CARRE_NOIR]
⬜|[CARRE_BLANC]
◼️|[CARRE_NOIR2]
◻️|[CARRE_BLANC2]
◾|[CARRE_NOIR3]
◽|[CARRE_BLANC3]
▪️|[CARRE_NOIR4]
▫️|[CARRE_BLANC4]
🔶|[DIAMANT_ORANGE]
🔷|[DIAMANT_BLEU]
🔸|[DIAMANT_ORANGE2]
🔹|[DIAMANT_BLEU2]
🔺|[TRIANGLE_ROUGE]
🔻|[TRIANGLE_VERT]
💠|[DIAMANT_FLEURE]
🔘|[BOUTON_ROND]
🔳|[BOUTON_CARRE]
🔲|[BOUTON_CARRE2]
🏁|[DRAPEAU]
🚩|[DRAPEAU_ROUGE]
🎌|[DRAPEAUX]
🏴|[DRAPEAU_NOIR]
🏳️|[DRAPEAU_BLANC]
🏳️‍🌈|[DRAPEAU_ARC_EN_CIEL]
🏳️‍⚧️|[DRAPEAU_TRANS]
🏴‍☠️|[PIRATE]
🤖|[AGENT]
🔄|[ROTATION]
📦|[PAQUET]
🕐|[HEURE]
🔗|[LIEN]
🐚|[SHELL]
🐍|[PYTHON]
📜|[DOCUMENT]
💾|[SAUVEGARDE]
🌳|[ARBORESCENCE]
